name,parent,size,type
WHEEL,setuptools-65.5.1.dist-info,92,file
setuptools-65.5.1.dist-info,site-packages,45895,directory
bdist_wheel.py,wheel,19293,file
macosx_libfile.py,wheel,16145,file
metadata.py,wheel,3727,file
util.py,wheel,621,file
wheelfile.py,wheel,7536,file
_setuptools_logging.py,wheel,746,file
__init__.py,wheel,59,file
__main__.py,wheel,455,file
wheel,site-packages,95910,directory
convert.py,cli,9427,file
pack.py,cli,3383,file
unpack.py,cli,659,file
__init__.py,cli,2384,file
cli,wheel,15853,directory
__init__.py,vendored,0,file
vendored,wheel,31475,directory
tags.py,packaging,15612,file
_manylinux.py,packaging,11489,file
_musllinux.py,packaging,4374,file
__init__.py,packaging,0,file
packaging,vendored,38415,directory
entry_points.txt,wheel-0.38.4.dist-info,107,file
INSTALLER,wheel-0.38.4.dist-info,5,file
LICENSE.txt,wheel-0.38.4.dist-info,1107,file
METADATA,wheel-0.38.4.dist-info,2110,file
RECORD,wheel-0.38.4.dist-info,2835,file
top_level.txt,wheel-0.38.4.dist-info,6,file
WHEEL,wheel-0.38.4.dist-info,92,file
wheel-0.38.4.dist-info,site-packages,6262,directory
override.py,_distutils_hack,44,file
__init__.py,_distutils_hack,6128,file
_distutils_hack,site-packages,13112,directory
__init__.cpython-311.pyc,__pycache__,11183,file
__pycache__,_distutils_hack,11183,directory
_virtualenv.cpython-311.pyc,__pycache__,6940,file
__pycache__,site-packages,6940,directory
activate,Scripts,2186,file
activate.bat,Scripts,1039,file
activate.fish,Scripts,3063,file
activate.nu,Scripts,2645,file
activate.ps1,Scripts,1758,file
activate_this.py,Scripts,1169,file
deactivate.bat,Scripts,511,file
deactivate.nu,Scripts,682,file
pip-3.11.exe,Scripts,108441,file
pip.exe,Scripts,108441,file
pip3.11.exe,Scripts,108441,file
pip3.exe,Scripts,108441,file
pydoc.bat,Scripts,24,file
python.exe,Scripts,270608,file
pythonw.exe,Scripts,259352,file
wheel-3.11.exe,Scripts,108428,file
wheel.exe,Scripts,108428,file
wheel3.11.exe,Scripts,108428,file
wheel3.exe,Scripts,108428,file
Scripts,venv,1410513,directory
